
Utah (PST) SNOTEL Site Beaver Dams - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 06 11:56:50 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
329,2008-10-01,,     0.0,
329,2008-10-02,,     0.0,
329,2008-10-03,,     0.0,
329,2008-10-04,,     0.0,
329,2008-10-05,,     0.0,
329,2008-10-06,,     0.0,
329,2008-10-07,,     0.0,
329,2008-10-08,,     0.0,
329,2008-10-09,,     0.0,
329,2008-10-10,,     0.0,
329,2008-10-11,,     0.0,
329,2008-10-12,,     0.2,
329,2008-10-13,,     0.2,
329,2008-10-14,,     0.2,
329,2008-10-15,,     0.1,
329,2008-10-16,,     0.0,
329,2008-10-17,,     0.0,
329,2008-10-18,,     0.0,
329,2008-10-19,,     0.0,
329,2008-10-20,,     0.0,
329,2008-10-21,,     0.0,
329,2008-10-22,,     0.0,
329,2008-10-23,,     0.0,
329,2008-10-24,,     0.0,
329,2008-10-25,,     0.0,
329,2008-10-26,,     0.0,
329,2008-10-27,,     0.0,
329,2008-10-28,,     0.0,
329,2008-10-29,,     0.0,
329,2008-10-30,,     0.0,
329,2008-10-31,,     0.0,
329,2008-11-01,,     0.0,
329,2008-11-02,,     0.0,
329,2008-11-03,,     0.0,
329,2008-11-04,,     0.0,
329,2008-11-05,,     0.2,
329,2008-11-06,,     0.3,
329,2008-11-07,,     0.2,
329,2008-11-08,,     0.2,
329,2008-11-09,,     0.1,
329,2008-11-10,,     0.0,
329,2008-11-11,,     0.0,
329,2008-11-12,,     0.0,
329,2008-11-13,,     0.0,
329,2008-11-14,,     0.0,
329,2008-11-15,,     0.0,
329,2008-11-16,,     0.0,
329,2008-11-17,,     0.0,
329,2008-11-18,,     0.0,
329,2008-11-19,,     0.0,
329,2008-11-20,,     0.0,
329,2008-11-21,,     0.0,
329,2008-11-22,,     0.0,
329,2008-11-23,,     0.0,
329,2008-11-24,,     0.0,
329,2008-11-25,,     0.0,
329,2008-11-26,,     0.0,
329,2008-11-27,,     0.0,
329,2008-11-28,,     0.0,
329,2008-11-29,,     0.0,
329,2008-11-30,,     0.0,
329,2008-12-01,,     0.0,
329,2008-12-02,,     0.0,
329,2008-12-03,,     0.0,
329,2008-12-04,,     0.0,
329,2008-12-05,,     0.0,
329,2008-12-06,,     0.0,
329,2008-12-07,,     0.0,
329,2008-12-08,,     0.0,
329,2008-12-09,,     0.3,
329,2008-12-10,,     0.3,
329,2008-12-11,,     0.3,
329,2008-12-12,,     0.3,
329,2008-12-13,,     0.3,
329,2008-12-14,,     0.8,
329,2008-12-15,,     0.9,
329,2008-12-16,,     1.1,
329,2008-12-17,,     1.2,
329,2008-12-18,,     1.2,
329,2008-12-19,,     1.3,
329,2008-12-20,,     1.5,
329,2008-12-21,,     1.5,
329,2008-12-22,,     1.6,
329,2008-12-23,,     2.0,
329,2008-12-24,,     2.0,
329,2008-12-25,,     2.1,
329,2008-12-26,,     2.4,
329,2008-12-27,,     2.9,
329,2008-12-28,,     3.0,
329,2008-12-29,,     3.0,
329,2008-12-30,,     3.0,
329,2008-12-31,,     3.0,
329,2009-01-01,,     3.0,
329,2009-01-02,,     3.0,
329,2009-01-03,,     3.1,
329,2009-01-04,,     3.4,
329,2009-01-05,,     3.4,
329,2009-01-06,,     3.6,
329,2009-01-07,,     3.8,
329,2009-01-08,,     3.8,
329,2009-01-09,,     3.8,
329,2009-01-10,,     3.8,
329,2009-01-11,,     3.8,
329,2009-01-12,,     3.8,
329,2009-01-13,,     3.8,
329,2009-01-14,,     3.8,
329,2009-01-15,,     3.8,
329,2009-01-16,,     3.8,
329,2009-01-17,,     3.8,
329,2009-01-18,,     3.8,
329,2009-01-19,,     3.8,
329,2009-01-20,,     3.8,
329,2009-01-21,,     3.9,
329,2009-01-22,,     3.9,
329,2009-01-23,,     4.1,
329,2009-01-24,,     4.0,
329,2009-01-25,,     4.2,
329,2009-01-26,,     4.6,
329,2009-01-27,,     5.2,
329,2009-01-28,,     5.2,
329,2009-01-29,,     5.2,
329,2009-01-30,,     5.2,
329,2009-01-31,,     5.2,
329,2009-02-01,,     5.2,
329,2009-02-02,,     5.2,
329,2009-02-03,,     5.2,
329,2009-02-04,,     5.2,
329,2009-02-05,,     5.2,
329,2009-02-06,,     5.2,
329,2009-02-07,,     5.2,
329,2009-02-08,,     5.2,
329,2009-02-09,,     5.4,
329,2009-02-10,,     5.6,
329,2009-02-11,,     5.6,
329,2009-02-12,,     5.7,
329,2009-02-13,,     6.3,
329,2009-02-14,,     6.3,
329,2009-02-15,,     6.5,
329,2009-02-16,,     6.5,
329,2009-02-17,,     6.5,
329,2009-02-18,,     6.7,
329,2009-02-19,,     6.8,
329,2009-02-20,,     6.8,
329,2009-02-21,,     6.8,
329,2009-02-22,,     6.8,
329,2009-02-23,,     6.8,
329,2009-02-24,,     6.6,
329,2009-02-25,,     6.5,
329,2009-02-26,,     6.3,
329,2009-02-27,,     6.2,
329,2009-02-28,,     6.2,
329,2009-03-01,,     6.2,
329,2009-03-02,,     6.1,
329,2009-03-03,,     6.0,
329,2009-03-04,,     5.8,
329,2009-03-05,,     5.6,
329,2009-03-06,,     5.7,
329,2009-03-07,,     6.0,
329,2009-03-08,,     6.1,
329,2009-03-09,,     6.1,
329,2009-03-10,,     6.4,
329,2009-03-11,,     6.4,
329,2009-03-12,,     6.4,
329,2009-03-13,,     6.4,
329,2009-03-14,,     6.4,
329,2009-03-15,,     6.3,
329,2009-03-16,,     6.2,
329,2009-03-17,,     5.9,
329,2009-03-18,,     5.8,
329,2009-03-19,,     5.2,
329,2009-03-20,,     4.4,
329,2009-03-21,,     3.8,
329,2009-03-22,,     3.3,
329,2009-03-23,,     3.5,
329,2009-03-24,,     3.9,
329,2009-03-25,,     4.0,
329,2009-03-26,,     4.7,
329,2009-03-27,,     5.0,
329,2009-03-28,,     5.0,
329,2009-03-29,,     5.1,
329,2009-03-30,,     5.2,
329,2009-03-31,,     5.4,
329,2009-04-01,,     5.4,
329,2009-04-02,,     5.4,
329,2009-04-03,,     5.7,
329,2009-04-04,,     6.3,
329,2009-04-05,,     6.9,
329,2009-04-06,,     6.7,
329,2009-04-07,,     6.5,
329,2009-04-08,,     6.2,
329,2009-04-09,,     5.8,
329,2009-04-10,,     6.0,
329,2009-04-11,,     5.8,
329,2009-04-12,,     6.5,
329,2009-04-13,,     6.4,
329,2009-04-14,,     6.0,
329,2009-04-15,,     5.8,
329,2009-04-16,,     6.1,
329,2009-04-17,,     6.1,
329,2009-04-18,,     6.1,
329,2009-04-19,,     5.8,
329,2009-04-20,,     5.1,
329,2009-04-21,,     4.0,
329,2009-04-22,,     2.7,
329,2009-04-23,,     1.0,
329,2009-04-24,,     0.4,
329,2009-04-25,,     0.0,
329,2009-04-26,,     0.3,
329,2009-04-27,,     0.2,
329,2009-04-28,,     0.0,
329,2009-04-29,,     0.0,
329,2009-04-30,,     0.0,
329,2009-05-01,,     0.0,
329,2009-05-02,,     0.0,
329,2009-05-03,,     0.0,
329,2009-05-04,,     0.0,
329,2009-05-05,,     0.0,
329,2009-05-06,,     0.0,
329,2009-05-07,,     0.0,
329,2009-05-08,,     0.0,
329,2009-05-09,,     0.0,
329,2009-05-10,,     0.0,
329,2009-05-11,,     0.0,
329,2009-05-12,,     0.0,
329,2009-05-13,,     0.0,
329,2009-05-14,,     0.0,
329,2009-05-15,,     0.0,
329,2009-05-16,,     0.0,
329,2009-05-17,,     0.0,
329,2009-05-18,,     0.0,
329,2009-05-19,,     0.0,
329,2009-05-20,,     0.0,
329,2009-05-21,,     0.0,
329,2009-05-22,,     0.0,
329,2009-05-23,,     0.0,
329,2009-05-24,,     0.0,
329,2009-05-25,,     0.0,
329,2009-05-26,,     0.0,
329,2009-05-27,,     0.0,
329,2009-05-28,,     0.0,
329,2009-05-29,,     0.0,
329,2009-05-30,,     0.0,
329,2009-05-31,,     0.0,
329,2009-06-01,,     0.0,
329,2009-06-02,,     0.0,
329,2009-06-03,,     0.0,
329,2009-06-04,,     0.0,
329,2009-06-05,,     0.0,
329,2009-06-06,,     0.0,
329,2009-06-07,,     0.0,
329,2009-06-08,,     0.0,
329,2009-06-09,,     0.0,
329,2009-06-10,,     0.0,
329,2009-06-11,,     0.0,
329,2009-06-12,,     0.0,
329,2009-06-13,,     0.0,
329,2009-06-14,,     0.0,
329,2009-06-15,,     0.0,
329,2009-06-16,,     0.0,
329,2009-06-17,,     0.0,
329,2009-06-18,,     0.0,
329,2009-06-19,,     0.0,
329,2009-06-20,,     0.0,
329,2009-06-21,,     0.0,
329,2009-06-22,,     0.0,
329,2009-06-23,,     0.0,
329,2009-06-24,,     0.0,
329,2009-06-25,,     0.0,
329,2009-06-26,,     0.0,
329,2009-06-27,,     0.0,
329,2009-06-28,,     0.0,
329,2009-06-29,,     0.0,
329,2009-06-30,,     0.0,
329,2009-07-01,,     0.0,
329,2009-07-02,,     0.0,
329,2009-07-03,,     0.0,
329,2009-07-04,,     0.0,
329,2009-07-05,,     0.0,
329,2009-07-06,,     0.0,
329,2009-07-07,,     0.0,
329,2009-07-08,,     0.0,
329,2009-07-09,,     0.0,
329,2009-07-10,,     0.0,
329,2009-07-11,,     0.0,
329,2009-07-12,,     0.0,
329,2009-07-13,,     0.0,
329,2009-07-14,,     0.0,
329,2009-07-15,,     0.0,
329,2009-07-16,,     0.0,
329,2009-07-17,,     0.0,
329,2009-07-18,,     0.0,
329,2009-07-19,,     0.0,
329,2009-07-20,,     0.0,
