
Washington (PST) SNOTEL Site Wells Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 06 11:46:22 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
909,2005-10-01,,     0.0,
909,2005-10-02,,     0.0,
909,2005-10-03,,     0.0,
909,2005-10-04,,     0.0,
909,2005-10-05,,     0.0,
909,2005-10-06,,     0.0,
909,2005-10-07,,     0.0,
909,2005-10-08,,     0.0,
909,2005-10-09,,     0.0,
909,2005-10-10,,     0.0,
909,2005-10-11,,     0.0,
909,2005-10-12,,     0.0,
909,2005-10-13,,     0.0,
909,2005-10-14,,     0.0,
909,2005-10-15,,     0.0,
909,2005-10-16,,     0.0,
909,2005-10-17,,     0.0,
909,2005-10-18,,     0.0,
909,2005-10-19,,     0.0,
909,2005-10-20,,     0.0,
909,2005-10-21,,     0.0,
909,2005-10-22,,     0.0,
909,2005-10-23,,     0.0,
909,2005-10-24,,     0.0,
909,2005-10-25,,     0.0,
909,2005-10-26,,     0.0,
909,2005-10-27,,     0.0,
909,2005-10-28,,     0.0,
909,2005-10-29,,     0.0,
909,2005-10-30,,     0.0,
909,2005-10-31,,     0.0,
909,2005-11-01,,     0.1,
909,2005-11-02,,     0.5,
909,2005-11-03,,     0.6,
909,2005-11-04,,     1.7,
909,2005-11-05,,     2.5,
909,2005-11-06,,     3.3,
909,2005-11-07,,     3.5,
909,2005-11-08,,     3.9,
909,2005-11-09,,     4.1,
909,2005-11-10,,     4.0,
909,2005-11-11,,     4.0,
909,2005-11-12,,     4.4,
909,2005-11-13,,     4.7,
909,2005-11-14,,     5.6,
909,2005-11-15,,     5.5,
909,2005-11-16,,     5.6,
909,2005-11-17,,     5.7,
909,2005-11-18,,     5.7,
909,2005-11-19,,     5.8,
909,2005-11-20,,     5.8,
909,2005-11-21,,     5.8,
909,2005-11-22,,     5.8,
909,2005-11-23,,     5.8,
909,2005-11-24,,     5.8,
909,2005-11-25,,     5.7,
909,2005-11-26,,     5.8,
909,2005-11-27,,     5.8,
909,2005-11-28,,     5.9,
909,2005-11-29,,     6.1,
909,2005-11-30,,     6.3,
909,2005-12-01,,     6.4,
909,2005-12-02,,     6.7,
909,2005-12-03,,     6.8,
909,2005-12-04,,     6.9,
909,2005-12-05,,     7.2,
909,2005-12-06,,     7.4,
909,2005-12-07,,     7.4,
909,2005-12-08,,     7.4,
909,2005-12-09,,     7.4,
909,2005-12-10,,     7.4,
909,2005-12-11,,     7.4,
909,2005-12-12,,     7.4,
909,2005-12-13,,     7.4,
909,2005-12-14,,     7.4,
909,2005-12-15,,     7.5,
909,2005-12-16,,     7.5,
909,2005-12-17,,     7.5,
909,2005-12-18,,     7.5,
909,2005-12-19,,     7.5,
909,2005-12-20,,     7.7,
909,2005-12-21,,     7.0,
909,2005-12-22,,     6.3,
909,2005-12-23,,     7.0,
909,2005-12-24,,     6.6,
909,2005-12-25,,     6.2,
909,2005-12-26,,     5.9,
909,2005-12-27,,     6.6,
909,2005-12-28,,     7.3,
909,2005-12-29,,     8.3,
909,2005-12-30,,     8.7,
909,2005-12-31,,     9.2,
909,2006-01-01,,     9.5,
909,2006-01-02,,    10.3,
909,2006-01-03,,    10.7,
909,2006-01-04,,    11.1,
909,2006-01-05,,    11.3,
909,2006-01-06,,     9.9,
909,2006-01-07,,     9.2,
909,2006-01-08,,     9.9,
909,2006-01-09,,    10.4,
909,2006-01-10,,    11.2,
909,2006-01-11,,    12.3,
909,2006-01-12,,    13.6,
909,2006-01-13,,    14.4,
909,2006-01-14,,    14.9,
909,2006-01-15,,    15.2,
909,2006-01-16,,    15.3,
909,2006-01-17,,    16.1,
909,2006-01-18,,    16.4,
909,2006-01-19,,    16.4,
909,2006-01-20,,    16.8,
909,2006-01-21,,    17.2,
909,2006-01-22,,    17.2,
909,2006-01-23,,    17.3,
909,2006-01-24,,    17.3,
909,2006-01-25,,    17.3,
909,2006-01-26,,    17.4,
909,2006-01-27,,    18.1,
909,2006-01-28,,    18.3,
909,2006-01-29,,    19.6,
909,2006-01-30,,    20.8,
909,2006-01-31,,    21.9,
909,2006-02-01,,    22.9,
909,2006-02-02,,    23.6,
909,2006-02-03,,    24.6,
909,2006-02-04,,    25.4,
909,2006-02-05,,    25.6,
909,2006-02-06,,    27.3,
909,2006-02-07,,    27.3,
909,2006-02-08,,    27.3,
909,2006-02-09,,    27.6,
909,2006-02-10,,    27.6,
909,2006-02-11,,    27.6,
909,2006-02-12,,    27.6,
909,2006-02-13,,    27.6,
909,2006-02-14,,    27.8,
909,2006-02-15,,    27.9,
909,2006-02-16,,    27.9,
909,2006-02-17,,    27.9,
909,2006-02-18,,    27.9,
909,2006-02-19,,    27.9,
909,2006-02-20,,    27.9,
909,2006-02-21,,    27.9,
909,2006-02-22,,    27.9,
909,2006-02-23,,    28.6,
909,2006-02-24,,    30.2,
909,2006-02-25,,    30.2,
909,2006-02-26,,    30.3,
909,2006-02-27,,    30.5,
909,2006-02-28,,    30.7,
909,2006-03-01,,    30.9,
909,2006-03-02,,    31.2,
909,2006-03-03,,    31.5,
909,2006-03-04,,    31.6,
909,2006-03-05,,    31.7,
909,2006-03-06,,    31.9,
909,2006-03-07,,    32.3,
909,2006-03-08,,    32.4,
909,2006-03-09,,    33.4,
909,2006-03-10,,    34.2,
909,2006-03-11,,    34.2,
909,2006-03-12,,    34.2,
909,2006-03-13,,    34.3,
909,2006-03-14,,    34.3,
